video_id,url,typ,publiceringsdatum,langd_sek,antal_bilder,visningar,likes,kommentarer,delningar,sparade,engagement_rate,rackvidd,caption,caption_langd,antal_hashtags,hashtags,musik,musik_original,is_ad,nedladdad,thumbnail,langd_verifierad,upplosning,bildformat,transkript,hook_text,hook_typ,format,kategori,tema,text_i_bild,grafik_beskrivning,personer_i_bild,medverkande,cta,har_cta,alkohol_i_bild,alkohol_marke,alkohol_omnamns_verbalt,alkohol_kontext,save_rate,share_rate,likes_per_view,budskapston,budskap_teman,har_hook,kategori_reclassad,hogtid,taxonomi_reclassad
7668655630609157398,https://www.tiktok.com/@iqinitiativet/video/7668655630609157398,,2026-07-31,41,,1000000,227,3,16,15,0.0003,,Glada killar gissar promillar!🤸 Du vet väl att hur snabbt du dricker kan vara lika avgörande för hälsan som hur mycket du dricker?,130,0,,originalljud - IQ,,True,ja,thumbnails/7668655630609157398.jpg,41.966667,1080x1920,staende,"Vi är på stan och ska se hur vi... Varannan vatten, varannan vatten. Vi ska ta tempen på hur bra folk känner igen sina egna signaler. Om man gissar rätt på promille vinner man den här. Hur full skulle du säga att du känner dig just nu? Nästan nykter. Okej, och vad skulle du tro att du blåser för promille? 0,3 ungefär. 0,16. Fan, det är lite alltså. Hur full känner du dig just nu? Inte speciellt full. Ja, men jag säger 0,2 då. Okej, 0,35. In the ballpark, eller? Vad skulle du säga att du gör för att hålla dig jämn under kvällen eller dagen? Jag försöker väl dricka lite vatten om jag känner att det går överstyr. Inte dricka för många enheter under för kort tid. Så du har vunnit ett presentkort på McDonalds? Yay! Fan, vad trevligt.","Vi är på stan och ska se hur vi... Varannan vatten, varannan vatten.",pastaende,talking head,frågor på stan,Promillegissning och att känna sina egna alkoholsignaler,"[""Varannan vatten,"", ""varannan vatt"", ""Vi ska ta tempen"", ""rätt på promille vinner"", ""Hur full skulle du"", ""Nästan nykter."", ""Okej och vad skulle du"", ""0,3"", ""Det är lite alltså."", ""Hur full känner du dig"", ""35 KR"", ""35 KR"", ""37 KR"", ""46 KR"", ""56 KR"", ""69 KR"", ""BAR SALOON"", ""IQ""]","Handhållna gatuintervjuer i solljus med vita undertexter, IQ-märkt mikrofon i färgglad tejp, emoji-grafik (grön bock) och färgade textrutor med promillesiffror (t.ex. lila ruta med orange '0,3'). Snabba klipp mellan olika intervjupersoner, kort svart övergångsbild.","Flera personer: en manlig och en kvinnlig reporter med mikrofon samt flera intervjuade unga män på gatan/uteservering, plus förbipasserande i bakgrunden",flera_personer,[],nej,ja,[],ja,forebyggande,1.5e-05,1.6e-05,0.000227,blandat,"[""effekter_av_alkohol"", ""fakta_upplysning""]",ja,ja,,ja
7667950380827053314,https://www.tiktok.com/@iqinitiativet/video/7667950380827053314,,2026-07-29,36,,982300,504,6,77,29,0.0006,,Läs andras frågor: fattafyllan.se,33,0,,originalljud - IQ,,True,ja,thumbnails/7667950380827053314.jpg,36.333333,1080x1920,staende,"Okej, snabb fråga. Hur gör jag när min kompis blir alldeles för full? Här är tre viktiga grejer att komma ihåg. Okej, nummer ett. Lämna aldrig din kompis ensam. Nummer två. Om din kompis spyr så lägg den aldrig på rygg. Lägg den istället på sidan så att den har fria luftvägar. Nummer tre. Går kompisen inte att väcka, är medvetslös eller andas konstigt, så ring 112 direkt. Det är aldrig fel att be om hjälp. Om du är osäker, kontakta en vuxen du kan lita på. Kom ihåg, du är inte en dålig kompis om du behöver göra det. Tvärtom, det betyder att du tar ansvar och vill personens bästa.","Okej, snabb fråga. Hur gör jag när min kompis blir alldeles för full?",fraga,animerat,fakta,Första hjälpen när en kompis blir för full,"[""VAD GÖR MAN NÄR ENS KOMPIS BLIR FÖR FULL?"", ""Här"", ""Lämna aldrig din kompis ensam!"", ""Nummer 2:"", ""*Googla framstupa sidoläge*"", ""✅"", ""lägg den istället"", ""ring 112"", ""Det är aldrig fel"", ""Ring hellre en gång för mycket! <3"", ""om du är osäker"", ""Kom ihåg:"", ""Du tar ansvar""]","Memevideo i TikTok-stil med vit bakgrund, utklippta djur- och filmmemes (hundar, katter, Zootopia-figurer, Nicolas Cage, bil-meme), gröna bockar och emojis. Stora vita textoverlays med svart kontur, snabba klipp och zoomar samt en suddig festbakgrund i intron.",Inga verkliga medverkande; endast memebilder av personer (ansikten ur filmklipp) och djur,ingen,"[""Ring 112 om kompisen inte går att väcka, är medvetslös eller andas konstigt"", ""Kontakta en vuxen du kan lita på om du är osäker"", ""Googla framstupa sidoläge"", ""Läs andras frågor: fattafyllan.se""]",ja,nej,[],nej,forebyggande,3e-05,7.8e-05,0.000513,budskap,"[""stotta_narstaende"", ""fakta_upplysning""]",ja,ja,,ja
7667549234232610070,https://www.tiktok.com/@iqinitiativet/video/7667549234232610070,,2026-07-28,49,,1600000,787,5,29,52,0.0005,,OBS!! Inga 🦆 🦆 🦆 blev skadade under denna inspelning.,53,0,,originalljud - IQ,,True,ja,thumbnails/7667549234232610070.jpg,49.366667,1080x1920,staende,"Ursäkta, vad har du för sommarplaner? Vad ser du mest fram emot i sommar? Jag ska åka till Grekland i två veckor. Jag ska umgås med kompisar. Jag ska resa. Jag ska en vecka till Montenegro. Det ska bli väldigt kul. Brukar du jämföra dig med andras sommarplaner? Ja, absolut. Nej, det skulle jag inte säga. Jag är rätt nöjd med mina. Det gör man väl en del, utan att tänka på det så mycket. Blev det att det blir mer fokus på alkohol under just sommaren? Ja, det tycker jag. Ja, det blir väl mer del av vardagen. Om man hänger utomhus och man tar ett glas i solen liksom. Man är ju ledig, så det blir ganska mycket mer alkohol. Jag brukar bara känna av. Om jag inte orkar så skiter jag i det. Man vaknar ju i ganska mycket bättre humör. Om det är sommar så vill man ju också njuta av att det är bra väder och inte bara lägga degat i kl. 3. Jag känner av mina egna gränser. Men det är klart att man vill ju inte heller missa roliga kvällar. Så lite kanske man påverkas.","Ursäkta, vad har du för sommarplaner?",fraga,talking head,frågor på stan,"sommarplaner, jämförelse med andra och alkohol under sommaren","[""Vad ser du mest fram emot"", ""Jag ska åka till Grekland"", ""Jag ska umgås"", ""Att resa."", ""Brukar du jämföra dig"", ""Ja"", ""Nej, det skulle jag inte säga."", ""Jag är rätt nöjd med mina."", ""Det gör man väl"", ""en del"", ""Upplever du att det blir""]","Vertikala mobilfilmade intervjuklipp utomhus i park, klippt mellan olika personer. Vita undertexter centrerat i bild. Mikrofon med IQ-logotyp i rosa, orange och lila samt RØDE-vindskydd syns.","Flera unga personer intervjuas en i taget (ung man i ljus skjorta, kvinna i svart jacka, kvinna med rött hår, blond kvinna i jeansjacka, ung man med keps); intervjuarens hand syns med mikrofon",flera_personer,[],nej,nej,[],ja,forebyggande,3.2e-05,1.8e-05,0.000492,blandat,"[""grupptryck"", ""fakta_upplysning"", ""personlig_berattelse""]",ja,ja,,ja
7666948505847532822,https://www.tiktok.com/@iqinitiativet/video/7666948505847532822,video,2026-07-26,62,,1500000,850,4,67,66,0.0007,,Tips: Ring din farfar. Han kanske vet något vi inte vet.,56,0,,originalljud - IQ,,True,ja,thumbnails/7666948505847532822.jpg,62.228896,720x1280,staende,"att du är inte så god som du tror att du är. Va? Nej pappa, jag har en snabb fråga bara. Hur låter halvåret? Kolla, jag ska på fest nu. Alltså, typ nu nu. Jag orkar typ inte med det idag egentligen. Jag vill inte heller vara den tråkiga gruppen som inte går ut och festar eller gör något. Ja, vi ungdomar har samma dilemma som du då hade. Det jag vill komma fram till är att du är inte så god som du tror att du är. Va? Ofta är det nog fler som känner som du, men inga vågar säga att först berätta ikväll att du vill ta dig lugnt med djuren. Sen kan du ju bestämma redan nu, i förväg, hur mycket du faktiskt vill dricka. Om det är lite eller inget alls för all del så slipper du ta alla beslut och festa. Alltså, du har ju rätt i intrycket. Du pappa, nu är de utanför så jag måste gå. Men du, tack för dina råd. Ring mig imorgon så får jag höra hur det gick. Behöver du det? Ja, detsamma. Tackar för idag.",att du är inte så god som du tror att du är.,humor,talking head,dramatiserat,Att bestämma i förväg hur mycket man vill dricka inför fest,"[""POV: Din farfar serving wisdom"", ""Hej farfar, du jag har en snabb fråga bara."", ""Det låter allvarligt."", ""Jag ska på fest nu"", ""jag vill inte heller vara"", ""inte går ut eller inte festar"", ""Ja, ni ungdomar"", ""Det jag vill komma fram till"", ""att du är inte så unik"", ""Va?"", ""Ofta är det nog fler"", ""som känner som du""]","Filmad selfie-video i rött rumsljus, en ung kvinna sitter i soffa och gör sig i ordning inför fest medan hon pratar i telefon. Svart textruta med rubriken 'POV: Din farfar serving wisdom' ligger kvar genom hela klippet, kompletterad med löpande undertexter av dialogen. Emojis (farfar-emoji, sparkande fingrar, sömnig gubbe) klistras in som komiska illustrationer. Enkla klipp mellan olika ögonblick av samtalet, inga tydliga scenbyten.","En ung kvinna syns i bild, sitter i en soffa och pratar i telefon.",en_person,"[""Bestäm i förväg hur mycket du vill dricka, eller om du vill dricka alls"", ""Ring din farfar (enligt caption)""]",ja,nej,[],nej,ingen,4.4e-05,4.5e-05,0.000567,blandat,"[""grupptryck"", ""minska_eller_avsta"", ""du_behover_inte_dricka"", ""fakta_upplysning""]",ja,ja,,ja
7666945053134327063,https://www.tiktok.com/@iqinitiativet/video/7666945053134327063,video,2026-07-26,24,,1600000,1595,14,243,78,0.0012,,Ska du ut ikväll och tänkt dricka? Här är en påminnelse att varva med vatten och sluta dricka i tid. Så slipper du vakna upp sådär… 🥴,133,0,,originalljud,,True,ja,thumbnails/7666945053134327063.jpg,24.500000,1080x1920,staende,Musik,Musik,humor,filmat,humor,Baksmälla och att varva med vatten vid alkoholkonsumtion,"[""När man glömde varannan vatten igår och vaknar upp uttorkad som ett russin med 3 kronor på kontot""]","En serie stillbilder av skulpterade ansiktsmasker/reliefer på olika byggnadsfasader i Stockholm, med plågade, skrikande eller uttorkade uttryck som symboliserar en baksmälla. Samma textöverlägg upprepas på alla bilder. Filmad underifrån mot fasader och en pelare, med blå himmel i bakgrunden.","Inga levande personer syns, endast skulpterade ansiktsmasker/reliefer på byggnader.",ingen,"[""Varva med vatten"", ""Sluta dricka i tid""]",ja,nej,[],nej,forebyggande,4.9e-05,0.000152,0.000997,blandat,"[""effekter_av_alkohol"", ""minska_eller_avsta"", ""fakta_upplysning""]",ja,ja,,ja
7666023145312226582,https://www.tiktok.com/@iqinitiativet/video/7666023145312226582,video,2026-07-24,50,,1600000,1102,10,71,73,0.0008,,Spara den här inför sommarens dejter! (ni kan tacka @assiadahir031 & @feliciaaveklew senare).,93,0,,originalljud - IQ,,True,ja,thumbnails/7666023145312226582.jpg,50.000000,1080x1920,staende,"Aj, men vad liksom gör du? Okej, jag ser. Inför en dejt är det lätt att man säger, kan vi ta ett glas? Bara vill slappa av lite. Det blir lite för många, man blir för full på dejten. Det är inte så nice. Alltså jag blir ju ganska nervös, men jag försöker hype upp mig med vänner och en vets playlist typ. Alltså jag blir inte så nervös längre för jag har haft partner länge, sex år. Men är inte det lite mysigt att vara bara lite nervös? Man brinsar det. Jo, men det är en skitkarlig känsla. Det betyder bara att man bryr sig. Man vill någonting. Det är gott att grotta sig in i den här känslan. Jag vill också göra saker som, liksom för att hypa upp lite. Alltså hypa upp dig själv, bra musik, fixa sig, ge mat. Okej! Passa mig på glasbenen! Jaha!","Aj, men vad liksom gör du?",humor,talking head,POV,Nervositet och alkohol inför dejter,"[""man blir för full på dejten."", ""Jag blir ganska nervös."", ""Ja, alltså"", ""Jo men det är en skitskön känsla,"", ""in i den här känslan."", ""för att hypea upp lite.""]","Videon är filmad i en berg- och dalbana där flera kvinnor i tur och ordning svarar på frågor om dejtnervositet och alkohol, med vinden i håret och blå himmel i bakgrunden. Klippen växlar snabbt mellan olika personer, en sekvens är i svartvitt för kontrast, och talad text visas som vita undertexter längst ner i bild.",Flera olika kvinnor i 20-30-årsåldern som åker berg- och dalbana och pratar till kameran,flera_personer,"[""Spara den här inför sommarens dejter!""]",ja,nej,[],nej,forebyggande,4.6e-05,4.4e-05,0.000689,blandat,"[""minska_eller_avsta"", ""personlig_berattelse""]",ja,ja,,ja
7663413747813207318,https://www.tiktok.com/@iqinitiativet/video/7663413747813207318,video,2026-07-17,19,,1400000,872,7,29,49,0.0007,,Skicka till en kompis du vill skapa sommarminnen med ❤️‍🔥 #howitfeels ,70,1,howitfeels,original sound,,True,ja,thumbnails/7663413747813207318.jpg,19.600000,1080x1920,staende,You make me feel like I'm alive again Alive again Oh you make me feel like I'm alive again,You make me feel like I'm alive again,pastaende,filmat,humor,Sommarkänsla och sommarminnen,"[""How life feels when det är sommar""]","En serie stämningsfulla klipp med sommarmotiv: ett tivoli med kedjekarusell mot blå himmel, solnedgång över vatten med brygga, kvällshimmel vid strand, och palmblad mot blå himmel. Vit text med svart kontur ligger centrerat i bild i varje klipp. Mjuk musik med sång i bakgrunden skapar en drömsk, nostalgisk stämning.","Enstaka personer syns långt bort i karusellen, annars inga tydliga personer i fokus",ingen,"[""Skicka till en kompis du vill skapa sommarminnen med""]",ja,nej,[],nej,ingen,3.5e-05,2.1e-05,0.000623,lattsamt,[],nej,ja,,ja
7655325406882647299,https://www.tiktok.com/@iqinitiativet/photo/7655325406882647299,bild,2026-06-25,,12,1500000,637,5,133,78,0.0006,,Vilket nummer är din favorit? 👀⚽️,33,0,,World Cup Song 2026,nej,True,ja,thumbnails/7655325406882647299.jpg,,1080x1920,staende,,,humor,bildinlägg,humor,Ordvitsar med svenska landslagströjor kopplat till alkohol,"[""När du ba känner att Now it räcks 🙋🏻‍♀️"", ""NEYTACK JR"", ""3"", ""Ingen erkänner att dom tar en då och då 🥲"", ""ZLATTEN"", ""10"", ""Varannan öl varannan vatten 🍻"", ""ÖLSLLANI"", ""9"", ""Den här var torr..."", ""STRÖMBEER"", ""7"", ""Ja men låt oss göra det balanserat 🤝"", ""KRÖKERES"", ""17"", ""Inga kommentarer🙈"", ""RAVE-LLI"", ""1"", ""Folköl är ju standard 😉"", ""FOLKÖLSSON"", ""14"", ""Kärt barn har många namn 🥳"", ""LAGERBIERA"", ""2"", ""Ibland är man bara lite:"", ""MESSY"", ""10"", ""Lull men inte full <3"", ""LINDERLULL"", ""3"", ""Är du ung och och dricker bärs?😬"", ""LJUNGBÄRS"", ""8"", ""Var snälla nu den här var det bästa vi kom på 👀"", ""ÖLMANDER"", ""9""]","En karusell med tio bilder, alla med vit bakgrund. Varje bild visar en gul svensk landslagströja (fram och bak) med Sverigekronans emblem, ett tröjnummer samt ett påhittat efternamn som är en ordvits på alkoholrelaterade ord (t.ex. Ölsllani, Strömbeer, Krökeres, Folkölsson, Lagerbiera, Linderlull, Ljungbärs, Ölmander). Ovanför varje tröjbild finns en kort, humoristisk text i svart konturerad font med en emoji som kommenterar temat alkohol/fylla. En liten pil i nedre högra hörnet indikerar att man kan svepa till nästa bild i karusellen.","Inga personer syns, enbart tröjor visas.",ingen,[],nej,nej,[],nej,ingen,5.2e-05,8.9e-05,0.000425,lattsamt,[],ja,ja,,ja
7649696551035505942,https://www.tiktok.com/@iqinitiativet/photo/7649696551035505942,bild,2026-06-10,,6,1300000,1442,17,174,105,0.0013,,Spoiler: ingen märker skillnaden (förutom mamma) 🤓,50,0,,original sound,ja,True,ja,thumbnails/7649696551035505942.jpg,,1284x800,liggande,,,pastaende,bildinlägg,humor,Balansdrickande - att växla mellan alkohol och alkoholfritt/läsk,"[""Mamma"", ""Försök kontrollera ditt drickande ikväll!"", ""nu"", ""\""Såhär?\"""", ""\""Eller kanske såhär?\"""", ""Varannan drink"", ""Varannan läsk"", ""PANTA MIG"", ""330ml"", ""Balans är allt 😁""]","Bildkarusell som inleds med ett skärmdumpsliknande meddelande från 'Mamma' på blommigt rosa bakgrund, följt av gatufoton på en kvinna i grön bomberjacka och beige byxor som balanserar drycker (ett glas med gulaktig dryck, en läskburk, en flaska öl) på sin fot mot en stenmur på en kullerstensgata. Vit bold text overlay i varje bild förklarar scenen humoristiskt, avslutas med ett skratt-emoji.","En ung kvinna syns i flera bilder, i olika poser där hon balanserar drycker på foten.",en_person,[],nej,ja,[],nej,forebyggande,8.1e-05,0.000134,0.001109,budskap,"[""minska_eller_avsta"", ""fakta_upplysning""]",ja,ja,,ja
7649440231917145366,https://www.tiktok.com/@iqinitiativet/photo/7649440231917145366,bild,2026-06-09,,11,1200000,1083,15,98,223,0.0012,,,0,0,,RALLY FUNKED,nej,True,ja,thumbnails/7649440231917145366.jpg,,1080x1920,staende,,,fraga,bildinlägg,quiz/lek,"Studentmössor med roliga texter om fest, alkohol och baksmälla","[""Vilken mössa hade du valt? 👀"", ""Get that job queen!!!"", ""Anställ mig"", ""Varför inte vara tydlig 😎"", ""Jag är singel så ni vet"", ""Man blir ju pank efter den här jäkla hatten 😩"", ""Den här kostade 1800kr??"", ""Asså ändå sant?"", ""För full = ick"", ""Yaaas 💅"", ""Stay iconic"", ""De fuuuunkar ju faktiskt 🫲😔"", ""Varannan vatten slayyy"", ""YOU DID THAT 🤙"", ""I fucking made it!!!!"", ""Man orkar liksom inte det?"", ""Palla va bakis imorrn???"", ""Ska nån med?"", ""Donken sen eller?"", ""Så sant som de va sagt 😤"", ""Now it räcks"", ""Vi kan om vi vill ❤️"", ""Låt oss må bra imorn med""]","En serie stillbilder mot ljusgrå bakgrund, var och en visar en vit studentmössa med svart mösskant där olika roliga/relaterbara texter är broderade i guld, vitt, rosa eller turkost. Ovanför varje mössa finns en kort kommentar i vit text med svart kontur samt en emoji. Bilderna är enkla produktbilder utan personer, i karusellformat.","Inga synliga personer, endast studentmössor avfotograferade mot neutral bakgrund",ingen,[],nej,nej,[],nej,neutralt,0.000186,8.2e-05,0.000902,blandat,"[""minska_eller_avsta"", ""effekter_av_alkohol""]",ja,ja,,ja
